epoch, minibatch, validation error, test error,
1,64/64,46.454545454545446,40.0,
2,64/64,81.81818181818183,0,
3,64/64,61.81818181818181,0,
4,64/64,63.63636363636363,0,
5,64/64,81.81818181818183,0,
6,64/64,81.81818181818183,0,
7,64/64,44.57575757575757,43.166666666666664,
8,64/64,45.18181818181819,0,
9,64/64,44.515151515151516,43.3,
10,64/64,42.27272727272727,54.966666666666676,
11,64/64,39.151515151515156,60.0,
12,64/64,39.515151515151516,0,
13,64/64,38.84848484848485,60.0,
14,64/64,31.151515151515152,60.0,
15,64/64,16.818181818181817,60.0,
16,64/64,14.545454545454545,52.2,
17,64/64,13.96969696969697,39.83333333333333,
18,64/64,10.212121212121213,21.299999999999997,
19,64/64,9.303030303030301,20.099999999999998,
20,64/64,9.090909090909092,20.099999999999998,
21,64/64,9.06060606060606,20.099999999999998,
22,64/64,8.393939393939394,20.099999999999998,
23,64/64,8.212121212121213,20.099999999999998,
24,64/64,7.636363636363637,20.099999999999998,
25,64/64,7.484848484848486,20.099999999999998,
26,64/64,7.2727272727272725,20.099999999999998,
27,64/64,7.2727272727272725,0,
28,64/64,7.2727272727272725,0,
29,64/64,7.2727272727272725,0,
30,64/64,7.2727272727272725,0,
31,64/64,7.2727272727272725,0,
32,64/64,7.2727272727272725,0,
33,64/64,7.2727272727272725,0,
34,64/64,7.2727272727272725,0,
35,64/64,7.2727272727272725,0,
36,64/64,7.2727272727272725,0,
37,64/64,7.2727272727272725,0,
38,64/64,7.2727272727272725,0,
39,64/64,7.2727272727272725,0,
40,64/64,7.2727272727272725,0,
41,64/64,7.2727272727272725,0,
42,64/64,7.2727272727272725,0,
43,64/64,7.2727272727272725,0,
44,64/64,7.2727272727272725,0,
45,64/64,7.2727272727272725,0,
46,64/64,7.2727272727272725,0,
47,64/64,7.2727272727272725,0,
48,64/64,7.2727272727272725,0,
49,64/64,7.2727272727272725,0,
50,64/64,7.2727272727272725,0,
51,64/64,7.2727272727272725,0,
52,64/64,7.2727272727272725,0,
53,64/64,7.2727272727272725,0,
54,64/64,7.2727272727272725,0,
