epoch, minibatch, validation error, test error,
1,14/14,62.323390894819475,56.043956043956044,
2,14/14,62.323390894819475,0,
3,14/14,62.323390894819475,0,
4,14/14,62.323390894819475,0,
5,14/14,62.323390894819475,0,
6,14/14,62.323390894819475,0,
7,14/14,62.323390894819475,0,
8,14/14,62.323390894819475,0,
9,14/14,62.323390894819475,0,
10,14/14,62.323390894819475,0,
11,14/14,62.323390894819475,0,
12,14/14,62.323390894819475,0,
13,14/14,62.323390894819475,0,
14,14/14,62.323390894819475,0,
15,14/14,62.323390894819475,0,
16,14/14,62.323390894819475,0,
17,14/14,62.323390894819475,0,
18,14/14,62.323390894819475,0,
19,14/14,62.19780219780221,56.043956043956044,
20,14/14,58.304552590266866,56.043956043956044,
21,14/14,47.78649921507064,55.934065934065934,
22,14/14,43.86185243328101,53.99267399267399,
23,14/14,43.76766091051806,50.366300366300365,
24,14/14,44.33281004709576,0,
25,14/14,45.1177394034537,0,
26,14/14,53.34379905808477,0,
27,14/14,68.8226059654631,0,
28,14/14,66.27943485086342,0,
29,14/14,68.38304552590266,0,
30,14/14,67.97488226059654,0,
31,14/14,65.49450549450549,0,
32,14/14,65.27472527472527,0,
33,14/14,72.77864992150705,0,
34,14/14,77.89638932496075,0,
35,14/14,77.67660910518053,0,
36,14/14,75.82417582417582,0,
37,14/14,73.97174254317112,0,
38,14/14,70.92621664050236,0,
39,14/14,69.38775510204083,0,
40,14/14,65.74568288854003,0,
41,14/14,63.830455259026685,0,
42,14/14,62.76295133437991,0,
43,14/14,62.605965463108326,0,
44,14/14,62.605965463108326,0,
45,14/14,62.63736263736265,0,
46,14/14,62.70015698587128,0,
47,14/14,62.70015698587128,0,
48,14/14,62.79434850863422,0,
49,14/14,62.825745682888545,0,
50,14/14,62.85714285714287,0,
51,14/14,62.76295133437991,0,
52,14/14,62.73155416012559,0,
53,14/14,62.605965463108326,0,
54,14/14,61.97802197802199,0,
55,14/14,60.72213500784931,0,
56,14/14,59.372056514913666,0,
57,14/14,58.77551020408163,0,
58,14/14,58.1789638932496,0,
59,14/14,57.927786499215074,0,
60,14/14,57.708006279434855,0,
61,14/14,57.67660910518053,0,
62,14/14,57.67660910518053,0,
63,14/14,57.67660910518053,0,
64,14/14,57.67660910518053,0,
65,14/14,57.67660910518053,0,
66,14/14,57.708006279434855,0,
67,14/14,57.739403453689164,0,
68,14/14,57.83359497645212,0,
69,14/14,57.89638932496075,0,
70,14/14,57.89638932496075,0,
71,14/14,57.89638932496075,0,
72,14/14,57.89638932496075,0,
73,14/14,57.83359497645212,0,
74,14/14,57.802197802197796,0,
75,14/14,57.802197802197796,0,
76,14/14,57.77080062794349,0,
77,14/14,57.77080062794349,0,
78,14/14,57.77080062794349,0,
79,14/14,57.802197802197796,0,
80,14/14,57.927786499215074,0,
81,14/14,57.927786499215074,0,
82,14/14,58.08477237048665,0,
83,14/14,58.08477237048665,0,
84,14/14,58.11616954474097,0,
85,14/14,58.08477237048665,0,
86,14/14,58.08477237048665,0,
87,14/14,58.05337519623234,0,
88,14/14,58.08477237048665,0,
89,14/14,58.14756671899529,0,
90,14/14,58.14756671899529,0,
91,14/14,58.1789638932496,0,
92,14/14,58.14756671899529,0,
93,14/14,58.14756671899529,0,
94,14/14,58.1789638932496,0,
95,14/14,58.14756671899529,0,
96,14/14,58.1789638932496,0,
97,14/14,58.1789638932496,0,
98,14/14,58.1789638932496,0,
99,14/14,58.11616954474097,0,
100,14/14,58.11616954474097,0,
end time = 31808.68003624
